name,stars,age,releases,language,zip_url,clone_url
AndroidHttpCapture,4253,6,1,Java,https://codeload.github.com/JZ-Darkal/AndroidHttpCapture/legacy.zip/9afc8805e8210df5d72e9718a745d802c59126f0,https://github.com/JZ-Darkal/AndroidHttpCapture
androidmvp,5956,9,0,Java,https://codeload.github.com/antoniolg/androidmvp/legacy.zip/b7056a68806f723885c4c0e83853b7fdfc34e9ce,https://github.com/antoniolg/androidmvp
AndroidCamera,2719,5,1,Java,https://codeload.github.com/aserbao/AndroidCamera/legacy.zip/5b8dfd5758596019a8dba96d24672db5acc67f5d,https://github.com/aserbao/AndroidCamera
Android-PullToRefresh,8729,11,0,Java,https://codeload.github.com/chrisbanes/Android-PullToRefresh/legacy.zip/3bd8ef6869c3297bfe874d2f15c2ee53c3456e99,https://github.com/chrisbanes/Android-PullToRefresh
android,3571,7,211,Java,https://codeload.github.com/nextcloud/android/legacy.zip/b1c948f49638c63160abdeb8105d83f175004b0a,https://github.com/nextcloud/android
AndroidViewHover,3204,9,4,Java,https://codeload.github.com/daimajia/AndroidViewHover/legacy.zip/7b1bc51b75500a761760fb6038c67adc4816bc16,https://github.com/daimajia/AndroidViewHover
android-async-http,10648,12,3,Java,https://codeload.github.com/android-async-http/android-async-http/legacy.zip/018a0b8d96a0dd569de9f8128cfe5d030e0423ef,https://github.com/android-async-http/android-async-http
android-gpuimage,8761,10,0,Java,https://codeload.github.com/cats-oss/android-gpuimage/legacy.zip/ceea576ec931c2968431ad46f1fb2e6d68a542e2,https://github.com/cats-oss/android-gpuimage
Android-CleanArchitecture,15381,9,0,Java,https://codeload.github.com/android10/Android-CleanArchitecture/legacy.zip/8ed4222c537e40db05e9e685bbc253fafb6b8e1f,https://github.com/android10/Android-CleanArchitecture
AndroidProcess,2764,7,0,Java,https://codeload.github.com/wenmingvs/AndroidProcess/legacy.zip/0c05dd14279cc3dc32baffdbb94e76d5ead56f33,https://github.com/wenmingvs/AndroidProcess
android-common,5016,11,1,Java,https://codeload.github.com/Trinea/android-common/legacy.zip/84350f7f3346eb96408509e011a78f53004770fb,https://github.com/Trinea/android-common
Android-PickerView,13336,8,0,Java,https://codeload.github.com/Bigkoo/Android-PickerView/legacy.zip/e200d8c063aa2568d728854c048340ad2e4e0c0b,https://github.com/Bigkoo/Android-PickerView
Android_Data,8659,8,0,Java,https://codeload.github.com/Freelander/Android_Data/legacy.zip/df3d108a95de1a6b7198fd14fd7234b62af19b16,https://github.com/Freelander/Android_Data
material-components-android,15391,6,80,Java,https://codeload.github.com/material-components/material-components-android/legacy.zip/0a8fc61f1623ff3385a1cf1ad96123af8c7a4a89,https://github.com/material-components/material-components-android
AndroidRTC,1546,10,1,Java,https://codeload.github.com/pchab/AndroidRTC/legacy.zip/14fcd59b5cf9cc92edd3133aadd31519d8e3009c,https://github.com/pchab/AndroidRTC
AndroidTreeView,2955,8,0,Java,https://codeload.github.com/bmelnychuk/AndroidTreeView/legacy.zip/5850dc8252b94e3ce9c5f2a375dea57683b326a1,https://github.com/bmelnychuk/AndroidTreeView
android-samples,2354,8,12,Java,https://codeload.github.com/googlemaps-samples/android-samples/legacy.zip/166e46d8b23c22241d76eba395a1b74da9338dfb,https://github.com/googlemaps-samples/android-samples
AndroidWiFiADB,4129,7,8,Java,https://codeload.github.com/pedrovgs/AndroidWiFiADB/legacy.zip/c54f1e8dba380c0d595cf70267f385362f0d4f14,https://github.com/pedrovgs/AndroidWiFiADB
andOTP,3714,6,38,Java,https://codeload.github.com/andOTP/andOTP/legacy.zip/6c54b8811f950375c774b2eefebcf1f9fa13d433,https://github.com/andOTP/andOTP
AndroidOpenGLDemo,2171,6,0,Java,https://codeload.github.com/doggycoder/AndroidOpenGLDemo/legacy.zip/20eedea2af39fbc89ed36ab071872af3c1e65bda,https://github.com/doggycoder/AndroidOpenGLDemo
AndroidFine,1180,8,0,Java,https://codeload.github.com/tianshaojie/AndroidFine/legacy.zip/64f740e966af07448c6be8a4fb2397e8c2bdcaae,https://github.com/tianshaojie/AndroidFine
hellocharts-android,7411,8,14,Java,https://codeload.github.com/lecho/hellocharts-android/legacy.zip/c41419c9afa097452dee823c7eba0e5136aa96bd,https://github.com/lecho/hellocharts-android
AndroidStudy,1844,6,1,Java,https://codeload.github.com/crazyqiang/AndroidStudy/legacy.zip/5ea9f80e8733acb1caa29aac183f7f128655e4b5,https://github.com/crazyqiang/AndroidStudy
android,3103,8,33,Java,https://codeload.github.com/cSploit/android/legacy.zip/3679ca5b40e687c8618d9b9fa58f50164e8168e5,https://github.com/cSploit/android
AndroidTagGroup,2480,8,5,Java,https://codeload.github.com/2dxgujun/AndroidTagGroup/legacy.zip/6d32f52409fabb0fdf24d665622fe3fe3f8f9ad4,https://github.com/2dxgujun/AndroidTagGroup
Android-Bootstrap,7276,9,5,Java,https://codeload.github.com/Bearded-Hen/Android-Bootstrap/legacy.zip/b3d62cc1847e26d420c53c92665a4fe1e6ee7ecf,https://github.com/Bearded-Hen/Android-Bootstrap
AndroidPhotoFilters,2501,7,3,Java,https://codeload.github.com/Zomato/AndroidPhotoFilters/legacy.zip/31e94f455fb1035b8e8e1af94fe8036f7fc3682f,https://github.com/Zomato/AndroidPhotoFilters
AndroidProcesses,1795,7,0,Java,https://codeload.github.com/jaredrummler/AndroidProcesses/legacy.zip/98f8283fd4624680ff7c84a598ecc0c54a6eead3,https://github.com/jaredrummler/AndroidProcesses
android-interview-questions,10370,6,0,Java,https://codeload.github.com/amitshekhariitbhu/android-interview-questions/legacy.zip/365f9fe5571d4681beb789bcaecb06470e3278a9,https://github.com/amitshekhariitbhu/android-interview-questions
android-volley,4305,10,0,Java,https://codeload.github.com/mcxiaoke/android-volley/legacy.zip/6864be3efadf3a33793228c0ce721a72d7a78731,https://github.com/mcxiaoke/android-volley
Android-ObservableScrollView,9629,8,0,Java,https://codeload.github.com/ksoichiro/Android-ObservableScrollView/legacy.zip/47a5fb2db5e93d923a8c6772cde48bbb7d932345,https://github.com/ksoichiro/Android-ObservableScrollView
Android-ZBLibrary,5311,8,25,Java,https://codeload.github.com/TommyLemon/Android-ZBLibrary/legacy.zip/2e628f482eeb150c14c0a0cdd9c42c1fc6794236,https://github.com/TommyLemon/Android-ZBLibrary
android-vision,2920,8,0,Java,https://codeload.github.com/googlesamples/android-vision/legacy.zip/c6e2f82c9ce62403fd56766dd64bfc7942df8021,https://github.com/googlesamples/android-vision
